Foglizzo comune,Foglizzo comune.1
,
Foglizzo – Veduta,Foglizzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Fulvio Gallenca (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°16′16.58″N 7°49′20.15″E
Altitudine,247 m s.l.m.
Superficie,"15,64 km²"
Abitanti,2 282[1] (30-11-2025)
Densità,"145,91 ab./km²"
Comuni confinanti,"Bosconero, Caluso, Montanaro, San Benigno Canavese, San Giorgio Canavese, San Giusto Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001106
Cod. catastale,D646
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 724 GG[3]"
Nome abitanti,foglizzesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Foglizzo,Foglizzo
Foglizzo – MappaLocalizzazione del comune di Foglizzo nella città metropolitana di Torino.,Foglizzo – MappaLocalizzazione del comune di Foglizzo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
