Osasco comune,Osasco comune.1
,
Osasco – VedutaVeduta Municipio,Osasco – VedutaVeduta Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Adriano Giovanni Miglio (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°50′57.72″N 7°20′35.67″E
Altitudine,344 m s.l.m.
Superficie,"5,49 km²"
Abitanti,1 158[1] (30-11-2025)
Densità,"210,93 ab./km²"
Comuni confinanti,"Bricherasio, Garzigliana, Pinerolo, San Secondo di Pinerolo"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001173
Cod. catastale,G151
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 784 GG[3]"
Nome abitanti,osaschesi
Patrono,Natitvià di Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Osasco,Osasco
"Osasco – MappaLocalizzazione del comune di Osasco nella città metropolitana di Torino, in Piemonte.","Osasco – MappaLocalizzazione del comune di Osasco nella città metropolitana di Torino, in Piemonte."
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
