Caluso comune,Caluso comune.1
,
Caluso – VedutaVeduta,Caluso – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Maria Rosa Cena (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°18′17.84″N 7°53′44.6″E
Altitudine,325 m s.l.m.
Superficie,"39,49[1] km²"
Abitanti,7 339[2] (30-11-2025)
Densità,"185,84 ab./km²"
Frazioni,"Arè, Carolina, Molliette, Rodallo, Vallo"
Comuni confinanti,"Barone Canavese, Candia Canavese, Chivasso, Foglizzo, Mazzè, Montanaro, San Giorgio Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10014
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001047
Cod. catastale,B435
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 808 GG[4]"
Nome abitanti,calusiesi
Patrono,SS. Calocero e Andrea
Cartografia,Cartografia
Caluso,Caluso
Caluso – MappaLocalizzazione del comune di Caluso nella città metropolitana di Torino.,Caluso – MappaLocalizzazione del comune di Caluso nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
