Chiesanuova comune,Chiesanuova comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luciano Girotto (lista civica) dal 23-7-2025
Territorio,Territorio
Coordinate,45°25′04.39″N 7°39′20.86″E
Altitudine,664 m s.l.m.
Superficie,"4,12 km²"
Abitanti,229[1] (30-11-2025)
Densità,"55,58 ab./km²"
Comuni confinanti,"Borgiallo, Cuorgnè, Frassinetto, Pont Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001079
Cod. catastale,C629
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 224 GG[3]"
Nome abitanti,chiesanuovesi
Patrono,santa Maria Maddalena
Cartografia,Cartografia
Chiesanuova,Chiesanuova
Chiesanuova – MappaLocalizzazione del comune di Chiesanuova nella città metropolitana di Torino.,Chiesanuova – MappaLocalizzazione del comune di Chiesanuova nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
