Rivarossa comune,Rivarossa comune.1
,
Rivarossa – VedutaChiesa di San Rocco,Rivarossa – VedutaChiesa di San Rocco
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,"Enrico Vallino (lista civica ""Rivarossa Casamia"") dal 10 giugno 2018 (2º mandato)"
Territorio,Territorio
Coordinate,45°15′01.79″N 7°43′03.82″E
Altitudine,286 m s.l.m.
Superficie,"10,87 km²"
Abitanti,1 543[1] (30-11-2025)
Densità,"141,95 ab./km²"
Comuni confinanti,"Front, Lombardore, Oglianico, Rivarolo Canavese, San Francesco al Campo"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001218
Cod. catastale,H344
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 783 GG[3]"
Nome abitanti,rivarossesi
Patrono,santa Maria Maddalena
Giorno festivo,11 luglio
Cartografia,Cartografia
Rivarossa,Rivarossa
Rivarossa – MappaLocalizzazione del comune di Rivarossa nella città metropolitana di Torino.,Rivarossa – MappaLocalizzazione del comune di Rivarossa nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
