Rubiana comune,Rubiana comune.1
,
Rubiana – VedutaIl paese visto dal versante est del Roccasella,Rubiana – VedutaIl paese visto dal versante est del Roccasella
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Rossella Cogerino (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°08′16.61″N 7°23′05.39″E
Altitudine,"640 (min 525 - max 2,234) m s.l.m."
Superficie,"26,94 km²"
Abitanti,2 585[1] (30-11-2025)
Densità,"95,95 ab./km²"
Frazioni,"Favella, Molino, Mompellato, Pascaletto"
Comuni confinanti,"Almese, Caprie, Condove, Val della Torre, Villar Dora, Viù"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001229
Cod. catastale,H627
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 314 GG[3]"
Nome abitanti,rubianini
Cartografia,Cartografia
Rubiana,Rubiana
Rubiana – MappaLocalizzazione del comune di Rubiana nella città metropolitana di Torino.,Rubiana – MappaLocalizzazione del comune di Rubiana nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
