Bricherasio comune,Bricherasio comune.1
,
Bricherasio – VedutaIl municipio di Bricherasio,Bricherasio – VedutaIl municipio di Bricherasio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Simone Ballari (lista civica Progetto civico per Bricherasio) dal 26-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°49′24.27″N 7°18′19.07″E
Altitudine,400 m s.l.m.
Superficie,"22,76 km²"
Abitanti,4 609[1] (30-11-2025)
Densità,"202,5 ab./km²"
Frazioni,"Cappella Merli, Cappella Moreri, Rivà, San Michele, Sopravilla, Cuccia"
Comuni confinanti,"Angrogna, Bibiana, Campiglione-Fenile, Cavour, Garzigliana, Luserna San Giovanni, Osasco, Prarostino, San Secondo di Pinerolo"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001035
Cod. catastale,B171
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 847 GG[3]"
Nome abitanti,bricherasiesi
Patrono,Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Bricherasio,Bricherasio
Bricherasio – MappaLocalizzazione del comune di Bricherasio nella città metropolitana di Torino.,Bricherasio – MappaLocalizzazione del comune di Bricherasio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
