Mercenasco comune,Mercenasco comune.1
,
Mercenasco – VedutaPanorama paese,Mercenasco – VedutaPanorama paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giovanni Levrio (lista civica Mercenasco e Villate insieme) dall'08-06-2024
Territorio,Territorio
Coordinate,45°21′25.86″N 7°52′56.49″E
Altitudine,309 m s.l.m.
Superficie,"12,64 km²"
Abitanti,1 346[1] (30-11-2025)
Densità,"106,49 ab./km²"
Frazioni,Villate
Comuni confinanti,"Barone Canavese, Candia Canavese, Cuceglio, Montalenghe, Orio Canavese, Romano Canavese, Scarmagno, Strambino"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001150
Cod. catastale,F140
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 587 GG[3]"
Nome abitanti,mercenaschesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Mercenasco,Mercenasco
Mercenasco – MappaLocalizzazione del comune di Mercenasco nella città metropolitana di Torino.,Mercenasco – MappaLocalizzazione del comune di Mercenasco nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
