Montaldo Torinese comune,Montaldo Torinese comune.1
,
Montaldo Torinese – VedutaPanorama del paese,Montaldo Torinese – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Sergio Gaiotti (lista civica Montaldo comunità viva) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°03′55.75″N 7°50′58.56″E
Altitudine,375 m s.l.m.
Superficie,"4,66 km²"
Abitanti,710[1] (30-11-2025)
Densità,"152,36 ab./km²"
Comuni confinanti,"Andezeno, Chieri, Gassino Torinese, Marentino, Pavarolo, Sciolze"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001158
Cod. catastale,F407
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 916 GG[3]"
Nome abitanti,montaldesi
Patrono,san Vittore
Giorno festivo,14 maggio
Cartografia,Cartografia
Montaldo Torinese,Montaldo Torinese
Montaldo Torinese – MappaLocalizzazione del comune di Montaldo Torinese nella città metropolitana di Torino.,Montaldo Torinese – MappaLocalizzazione del comune di Montaldo Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
