San Mauro Torinese comune,San Mauro Torinese comune.1
,
San Mauro Torinese – VedutaPonte Vittorio Emanuele III e centro storico,San Mauro Torinese – VedutaPonte Vittorio Emanuele III e centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giulia Guazzora (centro-sinistra) dal 4-10-2021
Territorio,Territorio
Coordinate,45°06′14″N 7°45′13″E
Altitudine,320 m s.l.m.
Superficie,"12,55 km²"
Abitanti,18 265[1] (30-11-2025)
Densità,"1 455,38 ab./km²"
Frazioni,"Cascina del Mulino, Oltre Po, Pescarito, Pescatori, Sambuy, Sant'Anna"
Comuni confinanti,"Baldissero Torinese, Castiglione Torinese, Settimo Torinese, Torino"
Altre informazioni,Altre informazioni
Cod. postale,10099
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001249
Cod. catastale,I030
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 478 GG[3]"
Nome abitanti,sanmauresi
Patrono,Corpi santi
Giorno festivo,terzo martedì di settembre
Cartografia,Cartografia
San Mauro Torinese,San Mauro Torinese
San Mauro Torinese – MappaLocalizzazione del comune di San Mauro Torinese nella città metropolitana di Torino.,San Mauro Torinese – MappaLocalizzazione del comune di San Mauro Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
