Villar Pellice comune,Villar Pellice comune.1
,
Villar Pellice – VedutaVeduta,Villar Pellice – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luca Bonjour (lista civica Triangolo) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°48′N 7°10′E
Altitudine,"664 (min 587 - max 2,868) m s.l.m."
Superficie,"60,29 km²"
Abitanti,1 048[1] (30-11-2025)
Densità,"17,38 ab./km²"
Frazioni,"Subiasco, Bessé, Garnier"
Comuni confinanti,"Angrogna, Bagnolo Piemonte (CN), Bobbio Pellice, Crissolo (CN), Perrero, Prali, Rorà, Torre Pellice"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001306
Cod. catastale,M013
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 350 GG[3]"
Nome abitanti,villaresi
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Villar Pellice,Villar Pellice
Villar Pellice – MappaLocalizzazione del comune di Villar Pellice nella città metropolitana di Torino.,Villar Pellice – MappaLocalizzazione del comune di Villar Pellice nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
