Salbertrand comune,Salbertrand comune.1
,
Salbertrand – VedutaVeduta della piana di Oulx dal versante nord della Valle di Susa; Salbertrand è sulla destra,Salbertrand – VedutaVeduta della piana di Oulx dal versante nord della Valle di Susa; Salbertrand è sulla destra
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Roberto Pourpour (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°04′19.34″N 6°52′59.54″E
Altitudine,"1,032 (min 994 - max 3,217) m s.l.m."
Superficie,"38,32 km²"
Abitanti,635[1] (30-11-2025)
Densità,"16,57 ab./km²"
Frazioni,"Combes, Deveys di Salbertrand, Eclause, Fenil, Frenee, Moncellier, Oulme, Plan, Rival, San Romano, Seu, Sapè di Salbertrand"
Comuni confinanti,"Exilles, Oulx, Pragelato"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001232
Cod. catastale,H684
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 998 GG[3]"
Nome abitanti,"salbertrandesi (Conosciuti in Alta Valle di Susa anche con l'appellativo di Gueini, ossia gente festaiola)"
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Salbertrand,Salbertrand
Salbertrand – MappaLocalizzazione del comune di Salbertrand nella città metropolitana di Torino.,Salbertrand – MappaLocalizzazione del comune di Salbertrand nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
