Frossasco comune,Frossasco comune.1
,
Frossasco – VedutaPanorama dalla Rocca Vautero,Frossasco – VedutaPanorama dalla Rocca Vautero
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Marco Gaido (lista civica Progetto Frossasco) dal 10-6-2024
Territorio,Territorio
Coordinate,44°55′58.6″N 7°21′00.78″E
Altitudine,376 m s.l.m.
Superficie,"20,15 km²"
Abitanti,2 859[1] (30-11-2025)
Densità,"141,89 ab./km²"
Comuni confinanti,"Cantalupa, Cumiana, Pinasca, Pinerolo, Piscina, Roletto"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001110
Cod. catastale,D812
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 815 GG[3]"
Nome abitanti,frossaschesi
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Frossasco,Frossasco
Frossasco – MappaLocalizzazione del comune di Frossasco nella città metropolitana di Torino.,Frossasco – MappaLocalizzazione del comune di Frossasco nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
