Castiglione Torinese comune,Castiglione Torinese comune.1
,
Castiglione Torinese – VedutaVeduta,Castiglione Torinese – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Loris Giovanni Lovera (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°07′17.83″N 7°48′57.41″E
Altitudine,304 m s.l.m.
Superficie,"14,13 km²"
Abitanti,6 512[1] (30-11-2025)
Densità,"460,86 ab./km²"
Frazioni,"Cordova, Pedaggio Vecchio, Rivodora, San Martino, Mulino Sambuy"
Comuni confinanti,"Baldissero Torinese, Gassino Torinese, Pavarolo, San Mauro Torinese, Settimo Torinese"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001068
Cod. catastale,C307
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 678 GG[3]"
Nome abitanti,castiglionesi
Patrono,santi Claudio e Dalmazzo
Giorno festivo,prima domenica di giugno
Cartografia,Cartografia
Castiglione Torinese,Castiglione Torinese
Castiglione Torinese – MappaLocalizzazione del comune di Castiglione Torinese nella città metropolitana di Torino.,Castiglione Torinese – MappaLocalizzazione del comune di Castiglione Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
