Mappano comune,Mappano comune.1
,
Mappano – VedutaL'abitato di Mappano visto da Superga,Mappano – VedutaL'abitato di Mappano visto da Superga
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Francesco Augusto Grassi (lista civica) dall'11-6-2017
Data di istituzione,31 gennaio 2013
Territorio,Territorio
Coordinate,45°08′54″N 7°42′28″E
Altitudine,277 m s.l.m.
Superficie,"9,73 km²"
Abitanti,7 284[1] (30-11-2025)
Densità,"748,61 ab./km²"
Frazioni,Reisina
Comuni confinanti,"Borgaro Torinese, Caselle Torinese, Leini, Settimo Torinese, Torino"
Altre informazioni,Altre informazioni
Cod. postale,10079[2]
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001316
Cod. catastale,M316
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 770 GG[4]"
Nome abitanti,mappanesi
Patrono,Nostra Signora del Sacro Cuore di Gesù
Cartografia,Cartografia
Mappano,Mappano
Mappano – MappaLocalizzazione del comune di Mappano nella città metropolitana di Torino.,Mappano – MappaLocalizzazione del comune di Mappano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
