Settimo Vittone comune,Settimo Vittone comune.1
,
Settimo Vittone – VedutaPanorama,Settimo Vittone – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Ivo Peretto (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°33′N 7°50′E
Altitudine,282 m.s.l.m (minima 259m massima 2 371m) m s.l.m.
Superficie,"23,26 km²"
Abitanti,1 510[1] (30-11-2025)
Densità,"64,92 ab./km²"
Frazioni,"Cesnola, Montestrutto, Torredaniele Località: Cornaley, Trovinasse"
Comuni confinanti,"Andrate, Borgofranco d'Ivrea, Carema, Donato (BI), Graglia (BI), Lillianes (AO), Nomaglio, Quassolo, Quincinetto, Tavagnasco"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001266
Cod. catastale,I702
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 781 GG[3]"
Nome abitanti,settimesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Settimo Vittone,Settimo Vittone
Settimo Vittone – MappaLocalizzazione del comune di Settimo Vittone nella città metropolitana di Torino.,Settimo Vittone – MappaLocalizzazione del comune di Settimo Vittone nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
