Cascinette d'Ivrea comune,Cascinette d'Ivrea comune.1
,
Cascinette d'Ivrea – VedutaIl solitario campanile,Cascinette d'Ivrea – VedutaIl solitario campanile
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Davide Paolo Guarino (centro-sinistra) dal 22-9-2020
Data di istituzione,1925
Territorio,Territorio
Coordinate,45°28′48.57″N 7°54′20.23″E
Altitudine,239 m (minima 237m massima 299m) m s.l.m.
Superficie,"2,17 km²"
Abitanti,1 506[1] (30-11-2025)
Densità,"694,01 ab./km²"
Comuni confinanti,"Burolo, Chiaverano, Ivrea"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001061
Cod. catastale,B953
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 717 GG[3]"
Nome abitanti,cascinettesi
Patrono,sant'Antonio
Giorno festivo,13 giugno
Cartografia,Cartografia
Cascinette d'Ivrea,Cascinette d'Ivrea
Cascinette d'Ivrea – MappaLocalizzazione del comune di Cascinette d'Ivrea nella città metropolitana di Torino.,Cascinette d'Ivrea – MappaLocalizzazione del comune di Cascinette d'Ivrea nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
