Buriasco comune,Buriasco comune.1
,
Buriasco – VedutaMunicipio,Buriasco – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giovanna Zagrebelsky (lista civica Tradizione&Futuro) dal 10-06-2024
Territorio,Territorio
Coordinate,44°52′25.1″N 7°24′37.15″E
Altitudine,301 m s.l.m.
Superficie,"14,69 km²"
Abitanti,1 291[1] (30-11-2025)
Densità,"87,88 ab./km²"
Frazioni,"Allasini, Appendini, Canali, David, Fodrera, Maineri, Paglieri, Reina, San Bernardo"
Comuni confinanti,"Cercenasco, Macello, Pinerolo, Scalenghe, Vigone"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001041
Cod. catastale,B278
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 726 GG[3]"
Nome abitanti,buriaschesi
Patrono,san Michele Arcangelo
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Buriasco,Buriasco
Buriasco – MappaLocalizzazione del comune di Buriasco nella città metropolitana di Torino.,Buriasco – MappaLocalizzazione del comune di Buriasco nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
