Colleretto Giacosa comune,Colleretto Giacosa comune.1
,
Colleretto Giacosa – VedutaPanorama,Colleretto Giacosa – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Ernesto Marco (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°25′54.79″N 7°47′58.53″E
Altitudine,280 m s.l.m.
Superficie,"4,59 km²"
Abitanti,573[1] (30-11-2025)
Densità,"124,84 ab./km²"
Comuni confinanti,"Loranzè, Parella, Pavone Canavese, Samone, San Martino Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001092
Cod. catastale,C868
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 779 GG[3]"
Nome abitanti,collerettesi
Patrono,san Felice
Giorno festivo,terza domenica di ottobre
Cartografia,Cartografia
Colleretto Giacosa,Colleretto Giacosa
Colleretto Giacosa – MappaLocalizzazione del comune di Colleretto Giacosa nella città metropolitana di Torino.,Colleretto Giacosa – MappaLocalizzazione del comune di Colleretto Giacosa nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
