Avigliana comune,Avigliana comune.1
,
Avigliana – VedutaPanorama di Avigliana,Avigliana – VedutaPanorama di Avigliana
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Andrea Archinà (lista civica Avigliana città aperta) dall'11-6-2017
Territorio,Territorio
Coordinate,45°04′46″N 7°23′46″E
Altitudine,383 m s.l.m.
Superficie,"23,22 km²"
Abitanti,12 056[1] (30-11-2025)
Densità,"519,21 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Almese, Buttigliera Alta, Caselette, Giaveno, Reano, Sant'Ambrogio di Torino, Trana, Valgioie, Villar Dora"
Altre informazioni,Altre informazioni
Cod. postale,10051
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001013
Cod. catastale,A518
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 928 GG[3]"
Nome abitanti,aviglianesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Avigliana,Avigliana
Avigliana – MappaLocalizzazione del comune di Avigliana nella città metropolitana di Torino.,Avigliana – MappaLocalizzazione del comune di Avigliana nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
