Vistrorio comune,Vistrorio comune.1
,
Vistrorio – VedutaVeduta paese,Vistrorio – VedutaVeduta paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Domenico Ravetto Enri (lista civica Uniti per Vistrorio) dal 22-9-2020
Territorio,Territorio
Coordinate,45°26′N 7°46′E
Altitudine,480 m s.l.m.
Superficie,"4,68 km²"
Abitanti,526[1] (30-11-2025)
Densità,"112,39 ab./km²"
Comuni confinanti,"Baldissero Canavese, Castelnuovo Nigra, Issiglio, Quagliuzzo, Rueglio, Strambinello, Val di Chy, Vidracco"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001312
Cod. catastale,M080
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 902 GG[3]"
Nome abitanti,vistoriesi
Cartografia,Cartografia
Vistrorio,Vistrorio
Vistrorio – MappaLocalizzazione del comune di Vistrorio nella città metropolitana di Torino.,Vistrorio – MappaLocalizzazione del comune di Vistrorio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
