Pramollo comune,Pramollo comune.1
,
"Pramollo – VedutaPanorama di La Ruata, una delle frazioni principali","Pramollo – VedutaPanorama di La Ruata, una delle frazioni principali"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Renzo Costantin (lista civica Insieme a Pramollo) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°54′16.14″N 7°12′41.04″E
Altitudine,1 071 m s.l.m.
Superficie,"22,48 km²"
Abitanti,213[1] (30-11-2025)
Densità,"9,48 ab./km²"
Frazioni,"Pellenchi, Case nuove di Pomeano, Sapiat, Bouchart, Ruâ, Buas, Ribet, Clot, Feugiorno, Lussie, Ferrieri, Sangle, Crosasso"
Comuni confinanti,"Angrogna, Inverso Pinasca, Perrero, Pomaretto, San Germano Chisone"
Altre informazioni,Altre informazioni
Cod. postale,10065
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001204
Cod. catastale,G982
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 371 GG[3]"
Nome abitanti,pramollini
Cartografia,Cartografia
Pramollo,Pramollo
Pramollo – MappaLocalizzazione del comune di Pramollo nella città metropolitana di Torino.,Pramollo – MappaLocalizzazione del comune di Pramollo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
