Vialfrè comune,Vialfrè comune.1
,
Vialfrè – VedutaPanorama da ovest,Vialfrè – VedutaPanorama da ovest
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Pietro Gianoglio Vercellino (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°23′N 7°49′E
Altitudine,470 m s.l.m.
Superficie,"4,65 km²"
Abitanti,256[1] (30-11-2025)
Densità,"55,05 ab./km²"
Comuni confinanti,"Agliè, Cuceglio, San Martino Canavese, Scarmagno"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001296
Cod. catastale,L830
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 909 GG[3]"
Nome abitanti,vialfredesi
Cartografia,Cartografia
Vialfrè,Vialfrè
Vialfrè – MappaLocalizzazione del comune di Vialfrè nella città metropolitana di Torino.,Vialfrè – MappaLocalizzazione del comune di Vialfrè nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
