Mezzenile comune,Mezzenile comune.1
,
Mezzenile – VedutaVista dal monte Crestà,Mezzenile – VedutaVista dal monte Crestà
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Città metropolitana di Torino
Amministrazione,Amministrazione
Sindaco,Sergio Pocchiola Viter (lista civica Mezzenile un paese in comune) dal 27-5-2019
Territorio,Territorio
Coordinate,45°17′42.46″N 7°23′40.05″E
Altitudine,680 m s.l.m.
Superficie,"29,09 km²"
Abitanti,733[1] (30-11-2025)
Densità,"25,2 ab./km²"
Frazioni,"Bertin, Bogliano, Catelli, Conce, Cugnetto, Goletto, Lazetta, Monti, Murasse, Prot, Pugnetto, Rangiroldo, Sabbione, Villa Inferiore, Villa Superiore"
Comuni confinanti,"Ala di Stura, Ceres, Lemie, Pessinetto, Traves, Viù"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001152
Cod. catastale,F182
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 329 GG[3]"
Nome abitanti,mezzenilesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Mezzenile,Mezzenile
Mezzenile – MappaLocalizzazione del comune di Mezzenile nella città metropolitana di Torino.,Mezzenile – MappaLocalizzazione del comune di Mezzenile nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
