San Ponso comune,San Ponso comune.1
,
San Ponso – VedutaBattistero di San Ponso,San Ponso – VedutaBattistero di San Ponso
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,"Riccardo Giganti (Lista civica ""Insieme per San Ponso"") dal 26-5-2019"
Territorio,Territorio
Coordinate,45°21′N 7°40′E
Altitudine,347 m s.l.m.
Superficie,"2,12 km²"
Abitanti,230[1] (30-11-2025)
Densità,"108,49 ab./km²"
Comuni confinanti,"Busano, Oglianico, Pertusio, Rivara, Salassa, Valperga"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001251
Cod. catastale,I126
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 665 GG[3]"
Nome abitanti,samponsesi
Patrono,sant'Ilario
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
San Ponso,San Ponso
San Ponso – MappaLocalizzazione del Comune di San Ponso nella Provincia di Torino,San Ponso – MappaLocalizzazione del Comune di San Ponso nella Provincia di Torino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
