Piverone comune,Piverone comune.1
,
Piverone – VedutaAccesso al borgo (torre-orologio),Piverone – VedutaAccesso al borgo (torre-orologio)
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alessandro Maria Fasolo (lista civica Vivere Piverone) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°26′46.53″N 8°00′20.6″E
Altitudine,295 m s.l.m.
Superficie,"11,03 km²"
Abitanti,1 228[1] (30-11-2025)
Densità,"111,33 ab./km²"
Frazioni,"Lido di Anzasco, Livione, Torrone"
Comuni confinanti,"Azeglio, Palazzo Canavese, Magnano (BI), Viverone (BI), Zimone (BI)"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001196
Cod. catastale,G719
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 728 GG[3]"
Nome abitanti,piveronesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Piverone,Piverone
Piverone – MappaLocalizzazione del comune di Piverone nella città metropolitana di Torino.,Piverone – MappaLocalizzazione del comune di Piverone nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
