Castagnole Piemonte comune,Castagnole Piemonte comune.1
,
Castagnole Piemonte – Veduta,Castagnole Piemonte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mattia Sandrone (lista civica Progetto Castagnole) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°53′53.31″N 7°33′58.04″E
Altitudine,244 m s.l.m.
Superficie,"17,28 km²"
Abitanti,2 173[1] (30-11-2025)
Densità,"125,75 ab./km²"
Frazioni,Oitana
Comuni confinanti,"Carignano, Cercenasco, None, Osasio, Piobesi Torinese, Scalenghe, Virle Piemonte"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001065
Cod. catastale,C048
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 762 GG[3]"
Nome abitanti,castagnolesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Castagnole Piemonte,Castagnole Piemonte
Castagnole Piemonte – MappaLocalizzazione del comune di Castagnole Piemonte nella città metropolitana di Torino.,Castagnole Piemonte – MappaLocalizzazione del comune di Castagnole Piemonte nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
