Pralormo comune,Pralormo comune.1
,
Pralormo – VedutaPralormo dalla Madonna della Spina,Pralormo – VedutaPralormo dalla Madonna della Spina
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mario Moschietto (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°51′35.08″N 7°54′05.15″E
Altitudine,303 m s.l.m.
Superficie,"29,85 km²"
Abitanti,1 868[1] (30-11-2025)
Densità,"62,58 ab./km²"
Comuni confinanti,"Cellarengo (AT), Ceresole d'Alba (CN), Montà (CN), Monteu Roero (CN), Poirino, Santo Stefano Roero (CN)"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001203
Cod. catastale,G979
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 808 GG[3]"
Nome abitanti,pralormesi
Patrono,san Donato
Cartografia,Cartografia
Pralormo,Pralormo
Pralormo – MappaLocalizzazione del comune di Pralormo nella città metropolitana di Torino.,Pralormo – MappaLocalizzazione del comune di Pralormo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
