Ozegna comune,Ozegna comune.1
,
Ozegna – VedutaIl castello di Ozegna,Ozegna – VedutaIl castello di Ozegna
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Federico Pozzo (lista civica Trasparenza e futuro) dal 26-05-2025
Territorio,Territorio
Coordinate,45°20′57.44″N 7°44′33.09″E
Altitudine,300[1] m s.l.m.
Superficie,"5,41 km²"
Abitanti,1 157[2] (30-11-2025)
Densità,"213,86 ab./km²"
Comuni confinanti,"Agliè, Bairo, Castellamonte, Ciconio, Rivarolo Canavese, San Giorgio Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001176
Cod. catastale,G202
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 594 GG[4]"
Nome abitanti,ozegnesi
Patrono,Natività di santa Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Ozegna,Ozegna
Ozegna – MappaLocalizzazione del comune di Ozegna nella città metropolitana di Torino.,Ozegna – MappaLocalizzazione del comune di Ozegna nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
