San Giusto Canavese comune,San Giusto Canavese comune.1
,
San Giusto Canavese – Veduta,San Giusto Canavese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giosi Boggio (lista civica San Giusto) dal 22-9-2020
Territorio,Territorio
Coordinate,45°19′N 7°49′E
Altitudine,264 m s.l.m.
Superficie,"9,61 km²"
Abitanti,3 313[1] (30-11-2025)
Densità,"344,75 ab./km²"
Comuni confinanti,"Bosconero, Feletto, Foglizzo, San Giorgio Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001246
Cod. catastale,H936
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 750 GG[3]"
Nome abitanti,"sangiustesi, gerbolini (tradizionale)"
Patrono,san Giusto
Cartografia,Cartografia
San Giusto Canavese,San Giusto Canavese
San Giusto Canavese – MappaLocalizzazione del comune di San Giusto Canavese nella città metropolitana di Torino.,San Giusto Canavese – MappaLocalizzazione del comune di San Giusto Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
