Rivalba comune,Rivalba comune.1
,
Rivalba – VedutaPanorama,Rivalba – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Davide Rosso (lista civica) dal 1-6-2015
Territorio,Territorio
Coordinate,45°07′06.06″N 7°53′17.25″E
Altitudine,328 m s.l.m.
Superficie,"10,83 km²"
Abitanti,1 124[1] (30-11-2025)
Densità,"103,79 ab./km²"
Comuni confinanti,"Casalborgone, Castagneto Po, Cinzano, Gassino Torinese, San Raffaele Cimena, Sciolze"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001213
Cod. catastale,H333
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 846 GG[3]"
Nome abitanti,rivalbesi
Patrono,sant'Amanzio[non chiaro]
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Rivalba,Rivalba
Rivalba – MappaLocalizzazione del comune di Rivalba nella Città metropolitana di Torino.,Rivalba – MappaLocalizzazione del comune di Rivalba nella Città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
