San Carlo Canavese comune,San Carlo Canavese comune.1
,
"San Carlo Canavese – VedutaPanorama con, a destra, il municipio","San Carlo Canavese – VedutaPanorama con, a destra, il municipio"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Ugo Giuseppe Guido Papurello (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°14′52.17″N 7°36′39.03″E
Altitudine,370 m s.l.m.
Superficie,"20,91 km²"
Abitanti,4 037[1] (30-11-2025)
Densità,"193,07 ab./km²"
Frazioni,"Baima, Buratto Inferiore, Buratto Superiore, Capoluogo, Corametti, Fornero, Massa, Orsa, Perino, Sarolda, Sedime, Spinerano"
Comuni confinanti,"Cirié, Front, Nole, Rocca Canavese, San Francesco al Campo, San Maurizio Canavese, Vauda Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001237
Cod. catastale,H789
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 909 GG[3]"
Nome abitanti,sancarlesi
Patrono,Madonna d'Oropa
Giorno festivo,quarta domenica di agosto
Cartografia,Cartografia
San Carlo Canavese,San Carlo Canavese
San Carlo Canavese – MappaLocalizzazione del comune di San Carlo Canavese nella città metropolitana di Torino.,San Carlo Canavese – MappaLocalizzazione del comune di San Carlo Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
