Bobbio Pellice comune,Bobbio Pellice comune.1
,
Bobbio Pellice – VedutaVista della piazza principale e della casa del Comune,Bobbio Pellice – VedutaVista della piazza principale e della casa del Comune
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mauro Vignola (lista civica Insieme per Bobbio) dal 26-5-2019
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°48′28.63″N 7°07′00.35″E
Altitudine,732 (min 690 - max 3 171) m s.l.m.
Superficie,"94,08 km²"
Abitanti,524[1] (30-11-2025)
Densità,"5,57 ab./km²"
Frazioni,"Chiot, Laus, Payant, Villanova"
Comuni confinanti,"Abriès (FR-05), Crissolo (CN), Prali, Ristolas (FR-05), Villar Pellice"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001026
Cod. catastale,A910
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 452 GG[3]"
Nome abitanti,bobbiesi
Cartografia,Cartografia
Bobbio Pellice,Bobbio Pellice
Bobbio Pellice – MappaLocalizzazione del comune di Bobbio Pellice nella città metropolitana di Torino.,Bobbio Pellice – MappaLocalizzazione del comune di Bobbio Pellice nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
