Castagneto Po comune,Castagneto Po comune.1
,
Castagneto Po – VedutaLa piazza di Castagneto Po all'inizio del XX secolo,Castagneto Po – VedutaLa piazza di Castagneto Po all'inizio del XX secolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Danilo Borca (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°09′33.3″N 7°53′21.93″E
Altitudine,473 m s.l.m.
Superficie,"11,47 km²"
Abitanti,1 742[1] (30-11-2025)
Densità,"151,87 ab./km²"
Frazioni,"Alberti, Baraccone, Cimenasco, Coste, Galleani, Giaccona, Negri, Ossole, Pezzana, Poggio, Ricca, San Genesio, Serre, Tamagni, Villanova, Vogliotti"
Comuni confinanti,"Casalborgone, Chivasso, Rivalba, San Raffaele Cimena, San Sebastiano da Po"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001064
Cod. catastale,C045
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 063 GG[3]"
Nome abitanti,castagnetesi
Cartografia,Cartografia
Castagneto Po,Castagneto Po
Castagneto Po – MappaLocalizzazione del comune di Castagneto Po nella città metropolitana di Torino,Castagneto Po – MappaLocalizzazione del comune di Castagneto Po nella città metropolitana di Torino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
