San Raffaele Cimena comune,San Raffaele Cimena comune.1
,
San Raffaele Cimena – VedutaChiesa del Sacro Cuore di Gesù nella Piana,San Raffaele Cimena – VedutaChiesa del Sacro Cuore di Gesù nella Piana
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Ettore Mantelli (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°09′N 7°51′E
Altitudine,195 m s.l.m.
Superficie,"11,15 km²"
Abitanti,3 135[1] (30-11-2025)
Densità,"281,17 ab./km²"
Frazioni,"Cimena, Piana San Raffaele, San Raffaele Alto, Tetti Baudino, Valle Baudana"
Comuni confinanti,"Brandizzo, Castagneto Po, Chivasso, Gassino Torinese, Rivalba, Settimo Torinese"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001252
Cod. catastale,I137
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 646 GG[3]"
Nome abitanti,sanraffaelesi
Patrono,san Bernardo
Giorno festivo,23 agosto
Cartografia,Cartografia
San Raffaele Cimena,San Raffaele Cimena
San Raffaele Cimena – MappaLocalizzazione del comune di San Raffaele Cimena nella città metropolitana di Torino,San Raffaele Cimena – MappaLocalizzazione del comune di San Raffaele Cimena nella città metropolitana di Torino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
