Settimo Rottaro comune,Settimo Rottaro comune.1
,
Settimo Rottaro – VedutaPanorama,Settimo Rottaro – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Massimo Ottogalli (centro-destra) dall'11-5-2011
Territorio,Territorio
Coordinate,45°24′N 8°00′E
Altitudine,258 m s.l.m.
Superficie,"6,06 km²"
Abitanti,469[1] (30-11-2025)
Densità,"77,39 ab./km²"
Comuni confinanti,"Alice Castello (VC), Azeglio, Borgo d'Ale (VC), Caravino, Cossano Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001264
Cod. catastale,I701
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 744 GG[3]"
Nome abitanti,rottaresi
Patrono,san Bononio Abate
Giorno festivo,3 settembre
Cartografia,Cartografia
Settimo Rottaro,Settimo Rottaro
Settimo Rottaro – MappaLocalizzazione del Comune di Settimo Rottaro nella Città metropolitana di Torino.,Settimo Rottaro – MappaLocalizzazione del Comune di Settimo Rottaro nella Città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
