Ribordone comune,Ribordone comune.1
,
Ribordone – VedutaVeduta,Ribordone – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Guido Bellardo Gioli (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°25′55.34″N 7°30′07.02″E
Altitudine,1 023 m s.l.m.
Superficie,"43,6 km²"
Abitanti,43[1] (30-11-2025)
Densità,"0,99 ab./km²"
Comuni confinanti,"Locana, Ronco Canavese, Sparone"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001212
Cod. catastale,H270
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 783 GG[3]"
Nome abitanti,ribordonesi
Patrono,San Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Ribordone,Ribordone
Ribordone – MappaLocalizzazione del Comune di Ribordone nella Città metropolitana di Torino.,Ribordone – MappaLocalizzazione del Comune di Ribordone nella Città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
