Angrogna comune,Angrogna comune.1
,
Angrogna – VedutaPanorama di Angrogna,Angrogna – VedutaPanorama di Angrogna
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mario Malan (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,44°50′36.9″N 7°13′25.74″E
Altitudine,"782 (min 542 - max 2,830) m s.l.m."
Superficie,"38,88 km²"
Abitanti,803[1] (30-11-2025)
Densità,"20,65 ab./km²"
Frazioni,"Baussan, Buonanotte, Martel, Pradeltorno, Serre"
Comuni confinanti,"Bricherasio, Luserna San Giovanni, Perrero, Prali, Pramollo, Prarostino, San Germano Chisone, Torre Pellice, Villar Pellice"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001011
Cod. catastale,A295
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 527 GG[3]"
Nome abitanti,angrognini
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Angrogna,Angrogna
Angrogna – MappaLocalizzazione del comune di Angrogna nella città metropolitana di Torino.,Angrogna – MappaLocalizzazione del comune di Angrogna nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
