Luserna San Giovanni comune,Luserna San Giovanni comune.1
,
Luserna San Giovanni – VedutaVeduta dalla Rocca Berra,Luserna San Giovanni – VedutaVeduta dalla Rocca Berra
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Duilio Canale (lista civica Proposta civica per Luserna San Giovanni) dal 25-5-2014
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°48′55.57″N 7°15′04.74″E
Altitudine,474 m s.l.m.
Superficie,"17,74 km²"
Abitanti,7 134[1] (30-11-2025)
Densità,"402,14 ab./km²"
Frazioni,"Airali, Boer, Luserna, Pecoul, San Giovanni"
Comuni confinanti,"Angrogna, Bagnolo Piemonte (CN), Bibiana, Bricherasio, Lusernetta, Rorà, Torre Pellice"
Altre informazioni,Altre informazioni
Cod. postale,10062
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001139
Cod. catastale,E758
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 065 GG[3]"
Nome abitanti,lusernesi
Motto,Lux in Tenebris Lucet
Cartografia,Cartografia
Luserna San Giovanni,Luserna San Giovanni
Luserna San Giovanni – MappaLocalizzazione del comune di Luserna San Giovanni nella città metropolitana di Torino.,Luserna San Giovanni – MappaLocalizzazione del comune di Luserna San Giovanni nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
