Barone Canavese comune,Barone Canavese comune.1
,
Barone Canavese – VedutaIl municipio,Barone Canavese – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alessio Bertinatto (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°19′31.9″N 7°52′23.03″E
Altitudine,325 m s.l.m.
Superficie,"3,99 km²"
Abitanti,531[1] (30-11-2025)
Densità,"133,08 ab./km²"
Comuni confinanti,"Caluso, Candia Canavese, Mercenasco, Orio Canavese, San Giorgio Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001023
Cod. catastale,A673
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 841 GG[3]"
Nome abitanti,baronesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Barone Canavese,Barone Canavese
Barone Canavese – MappaLocalizzazione del comune di Barone Canavese nella città metropolitana di Torino.,Barone Canavese – MappaLocalizzazione del comune di Barone Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
