Villareggia comune,Villareggia comune.1
,
"Villareggia – VedutaLa torre del ""Ricetto""","Villareggia – VedutaLa torre del ""Ricetto"""
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Fabrizio Salono [1] (lista civica Vivere Villareggia)
Territorio,Territorio
Coordinate,45°18′35.64″N 7°58′36.12″E
Altitudine,274 m s.l.m.
Superficie,"11,41 km²"
Abitanti,993[2] (30-11-2025)
Densità,"87,03 ab./km²"
Frazioni,"Gerbido, Rocca"
Comuni confinanti,"Cigliano (VC), Mazzè, Moncrivello (VC), Vische"
Altre informazioni,Altre informazioni
Cod. postale,10030
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,001304
Cod. catastale,M004
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 765 GG[4]"
Nome abitanti,villareggesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Villareggia,Villareggia
Villareggia – MappaLocalizzazione del Comune di Villareggia nella Città metropolitana di Torino.,Villareggia – MappaLocalizzazione del Comune di Villareggia nella Città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
