Cossano Canavese comune,Cossano Canavese comune.1
,
Cossano Canavese – VedutaPanorama,Cossano Canavese – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Aurelia Siletto (lista civica Indipendenti) dal 27-5-2019
Territorio,Territorio
Coordinate,45°23′15.93″N 7°59′29.48″E
Altitudine,346 m s.l.m.
Superficie,"3,24 km²"
Abitanti,412[1] (30-11-2025)
Densità,"127,16 ab./km²"
Frazioni,"Avetta, Francia, Casale"
Comuni confinanti,"Borgo d'Ale (VC), Borgomasino, Caravino, Settimo Rottaro"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001095
Cod. catastale,D092
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 873 GG[3]"
Nome abitanti,cossanesi
Patrono,santo Stefano primo martire
Giorno festivo,prima settimana di agosto
Cartografia,Cartografia
Cossano Canavese,Cossano Canavese
Cossano Canavese – MappaLocalizzazione del comune di Cossano Canavese nella città metropolitana di Torino.,Cossano Canavese – MappaLocalizzazione del comune di Cossano Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
