Azeglio comune,Azeglio comune.1
,
Azeglio – VedutaPanorama,Azeglio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Territorio,Territorio
Coordinate,45°25′24.45″N 7°59′38.12″E
Altitudine,260 m s.l.m.
Superficie,"9,96 km²"
Abitanti,1 225[1] (30-11-2025)
Densità,"122,99 ab./km²"
Frazioni,"Cascine Sirio, Specura, Viassa, Villa, Castellazzo, Piane, Lago di Viverone, Pobbietta, Pobbia"
Comuni confinanti,"Albiano d'Ivrea, Bollengo, Borgo d'Ale (VC), Caravino, Palazzo Canavese, Piverone, Settimo Rottaro, Viverone (BI)"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001014
Cod. catastale,A525
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 748 GG[3]"
Nome abitanti,azegliesi
Patrono,san Deodato
Giorno festivo,quarta domenica di agosto
Cartografia,Cartografia
Azeglio,Azeglio
Azeglio – MappaLocalizzazione del comune di Azeglio nella città metropolitana di Torino.,Azeglio – MappaLocalizzazione del comune di Azeglio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
