Bussoleno comune,Bussoleno comune.1
,
Bussoleno – VedutaPanorama dalle montagne,Bussoleno – VedutaPanorama dalle montagne
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Antonella Zoggia (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°08′21.38″N 7°08′51.78″E
Altitudine,440 m s.l.m.
Superficie,"37,07 km²"
Abitanti,5 762[1] (30-11-2025)
Densità,"155,44 ab./km²"
Frazioni,"Amprimo, Arbrea, Argiassera, Ballai, Baroni, Bessetti, Bringetto, Campobenello, Cervetto, Creitet, Falcemagna, Foresto, Fornelli, Grange, Grangia delle Alpi, La Mura, Meitre, Meineri, Meisonetta, Pietra Bianca, Pinetti, Pralombardo, Prapontin, Richettera, Roncaglie, San Basilio, San Lorenzo, Santa Petronilla, Tignai"
Comuni confinanti,"Chianocco, Mattie, Mompantero, Roure, San Giorio di Susa, Susa, Usseglio"
Altre informazioni,Altre informazioni
Cod. postale,10053
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001044
Cod. catastale,B297
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 014 GG[3]"
Nome abitanti,bussolinesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Bussoleno,Bussoleno
Bussoleno – MappaLocalizzazione del comune di Bussoleno nella città metropolitana di Torino.,Bussoleno – MappaLocalizzazione del comune di Bussoleno nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
