Vidracco comune,Vidracco comune.1
,
Vidracco – VedutaVeduta,Vidracco – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Antonio Bernini (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°26′N 7°45′E
Altitudine,481 m s.l.m.
Superficie,"2,97 km²"
Abitanti,452[1] (30-11-2025)
Densità,"152,19 ab./km²"
Comuni confinanti,"Baldissero Canavese, Castellamonte, Issiglio, Vistrorio"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001298
Cod. catastale,L857
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 922 GG[3]"
Nome abitanti,vidracchesi
Cartografia,Cartografia
Vidracco,Vidracco
Vidracco – MappaLocalizzazione del comune di Vidracco nella città metropolitana di Torino.,Vidracco – MappaLocalizzazione del comune di Vidracco nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
