Palazzo Canavese comune,Palazzo Canavese comune.1
,
Palazzo Canavese – VedutaPanorama,Palazzo Canavese – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Silvano Signora (lista civica Insieme per Palazzo) dal 27-5-2019
Territorio,Territorio
Coordinate,45°27′33.33″N 7°58′44.12″E
Altitudine,248 m s.l.m.
Superficie,"5,08 km²"
Abitanti,837[1] (30-11-2025)
Densità,"164,76 ab./km²"
Comuni confinanti,"Albiano d'Ivrea, Azeglio, Bollengo, Magnano (BI), Piverone"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001177
Cod. catastale,G262
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 730 GG[3]"
Nome abitanti,palazzesi
Patrono,san Genesio
Cartografia,Cartografia
Palazzo Canavese,Palazzo Canavese
Palazzo Canavese – MappaLocalizzazione del comune di Palazzo Canavese nella città metropolitana di Torino.,Palazzo Canavese – MappaLocalizzazione del comune di Palazzo Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
