Trana comune,Trana comune.1
,
Trana – VedutaPanorama dal Moncuni,Trana – VedutaPanorama dal Moncuni
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Cinzia Pachetti (lista civica Nostrana la svolta) dal 15-5-2023
Territorio,Territorio
Coordinate,45°02′N 7°25′E
Altitudine,372 (min 345 - max 926) m s.l.m.
Superficie,"16,41 km²"
Abitanti,3 737[1] (30-11-2025)
Densità,"227,73 ab./km²"
Frazioni,"Belvedere, Biellese, Colombé, Cordero, Durando, Galletto, Moranda, Pianca, Pratovigero, San Bernardino, San Giovanni, Udritto, Cascina Usseglio"
Comuni confinanti,"Avigliana, Cumiana, Giaveno, Piossasco, Reano, Sangano"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001276
Cod. catastale,L327
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 912 GG[3]"
Nome abitanti,tranesi
Patrono,Natività di Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Trana,Trana
Trana – MappaLocalizzazione del comune di Trana nella città metropolitana di Torino.,Trana – MappaLocalizzazione del comune di Trana nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
