Coassolo Torinese comune,Coassolo Torinese comune.1
,
Coassolo Torinese – VedutaPanorama,Coassolo Torinese – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Guido Bonino (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°17′51.3″N 7°27′37.65″E
Altitudine,742 m s.l.m.
Superficie,"27,88 km²"
Abitanti,1 467[1] (30-11-2025)
Densità,"52,62 ab./km²"
Frazioni,"Airola, Banche, Benne, Bivio Tet, Bogno, Brich, Molar, Case Ferrando, Castiglione, Plassa, Saccona, San Grato, San Nicolao, San Pietro, Togliatti,Vernai, Vauda, Vietti"
Comuni confinanti,"Balangero, Corio, Lanzo Torinese, Locana, Monastero di Lanzo"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001088
Cod. catastale,C801
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 467 GG[3]"
Nome abitanti,coassolesi
Patrono,San Nicolao e santi Pietro e Paolo
Cartografia,Cartografia
Coassolo Torinese,Coassolo Torinese
Coassolo Torinese – MappaLocalizzazione del comune di Coassolo Torinese nella città metropolitana di Torino.,Coassolo Torinese – MappaLocalizzazione del comune di Coassolo Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
