Castelnuovo Nigra comune,Castelnuovo Nigra comune.1
,
Castelnuovo Nigra – VedutaVeduta,Castelnuovo Nigra – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Enrica Domenica Caretto (lista civica Per il nostro paese) dal 21-9-2020
Territorio,Territorio
Coordinate,45°26′17.36″N 7°41′40.61″E
Altitudine,828 m s.l.m.
Superficie,"28,38 km²"
Abitanti,418[1] (30-11-2025)
Densità,"14,73 ab./km²"
Frazioni,"Cademoniale, Caretto Superiore, Caretto Inferiore, Alpetta, Cicolelio, Moris, Pontiglia, Cantello, Filippi, Trucco, Vai, Coste, Foresta, Sale Castelnuovo (capoluogo), Villa Castelnuovo"
Comuni confinanti,"Borgiallo, Castellamonte, Cintano, Colleretto Castelnuovo, Frassinetto, Rueglio, Traversella, Valchiusa, Val di Chy, Vistrorio"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001067
Cod. catastale,C241
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 483 GG[3]"
Nome abitanti,salesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Castelnuovo Nigra,Castelnuovo Nigra
Castelnuovo Nigra – MappaLocalizzazione del comune di Castelnuovo Nigra nella città metropolitana di Torino.,Castelnuovo Nigra – MappaLocalizzazione del comune di Castelnuovo Nigra nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
