Pratiglione comune,Pratiglione comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giovanni Domenico Trucano (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°21′09.91″N 7°35′45.65″E
Altitudine,611 m s.l.m.
Superficie,"7,88 km²"
Abitanti,444[1] (30-11-2025)
Densità,"56,35 ab./km²"
Comuni confinanti,"Canischio, Corio, Forno Canavese, Prascorsano, Rivara, Sparone, Valperga"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001207
Cod. catastale,G997
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 270 GG[3]"
Nome abitanti,pratiglionesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Pratiglione,Pratiglione
Pratiglione – MappaLocalizzazione del comune di Pratiglione nella città metropolitana di Torino.,Pratiglione – MappaLocalizzazione del comune di Pratiglione nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
