Borgiallo comune,Borgiallo comune.1
,
Borgiallo – Veduta,Borgiallo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Francesca Cargnello (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°25′01.4″N 7°40′06.65″E
Altitudine,540 m s.l.m.
Superficie,"6,96 km²"
Abitanti,591[1] (30-11-2025)
Densità,"84,91 ab./km²"
Frazioni,"Belvedere, Cossi, Pianezze, Pinelli, San Carlo, Villanova"
Comuni confinanti,"Castellamonte, Castelnuovo Nigra, Chiesanuova, Colleretto Castelnuovo, Cuorgnè, Frassinetto"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001029
Cod. catastale,B003
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 020 GG[3]"
Nome abitanti,borgiallesi
Patrono,san Nicolao
Cartografia,Cartografia
Borgiallo,Borgiallo
Borgiallo – MappaLocalizzazione del comune di Borgiallo nella città metropolitana di Torino.,Borgiallo – MappaLocalizzazione del comune di Borgiallo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
