Salerano Canavese comune,Salerano Canavese comune.1
,
Salerano Canavese – VedutaLa chiesa di S. Urbano,Salerano Canavese – VedutaLa chiesa di S. Urbano
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Domenico “Mecco” Mancuso
Territorio,Territorio
Coordinate,45°27′29.01″N 7°51′04.02″E
Altitudine,247 m s.l.m.
Superficie,"2,1 km²"
Abitanti,470[1] (30-11-2025)
Densità,"223,81 ab./km²"
Comuni confinanti,"Banchette, Fiorano Canavese, Ivrea, Loranzè, Samone"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001233
Cod. catastale,H702
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 728 GG[3]"
Nome abitanti,saleranesi
Cartografia,Cartografia
Salerano Canavese,Salerano Canavese
Salerano Canavese – MappaLocalizzazione del Comune di Salerano Canavese nella città metropolitana di Torino.,Salerano Canavese – MappaLocalizzazione del Comune di Salerano Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
