Traves comune,Traves comune.1
,
Traves – VedutaPanorama,Traves – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Francesca Giuliano (Pronti per Traves) dal 9-6-2024
Territorio,Territorio
Coordinate,45°16′N 7°26′E
Altitudine,628 m s.l.m.
Superficie,"10,45 km²"
Abitanti,504[1] (30-11-2025)
Densità,"48,23 ab./km²"
Frazioni,"Andrè, Bertolè, Biò, Campetto, Fontana, Grangia, Luisetti, Lusiana, Malerba, Perini, Pignastello, Rosello, Tese, Tiglierai, Villa"
Comuni confinanti,"Germagnano, Mezzenile, Pessinetto, Viù"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001279
Cod. catastale,L340
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 296 GG[3]"
Nome abitanti,travesini
Patrono,"san Pietro in Vincoli, santa Blandina"
Cartografia,Cartografia
Traves,Traves
Traves – MappaLocalizzazione del comune di Traves nella città metropolitana di Torino.,Traves – MappaLocalizzazione del comune di Traves nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
