Mombello di Torino comune,Mombello di Torino comune.1
,
Mombello di Torino – VedutaVeduta dell'abitato di Mombello Torinese,Mombello di Torino – VedutaVeduta dell'abitato di Mombello Torinese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luciana Picogna dal 13-06-2022
Territorio,Territorio
Coordinate,45°02′44.7″N 7°55′14.98″E
Altitudine,336 (min 275 - max 376) m s.l.m.
Superficie,"4,08 km²"
Abitanti,400[1] (30-11-2025)
Densità,"98,04 ab./km²"
Frazioni,Tetti Cambiano
Comuni confinanti,"Arignano, Moncucco Torinese (AT), Moriondo Torinese, Riva presso Chieri"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001153
Cod. catastale,F315
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 858 GG[3]"
Nome abitanti,mombellesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Mombello di Torino,Mombello di Torino
Mombello di Torino – MappaLocalizzazione del comune di Mombello di Torino nella città metropolitana di Torino.,Mombello di Torino – MappaLocalizzazione del comune di Mombello di Torino nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
