Campiglione Fenile comune,Campiglione Fenile comune.1
(PMS) Campion e Fnil (OC) Campilhon e Fenil,(PMS) Campion e Fnil (OC) Campilhon e Fenil
,
Campiglione Fenile – VedutaIl municipio,Campiglione Fenile – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Arch. Luca Re (lista civica) dal 10-6-2024
Data di istituzione,1927 (per fusione)
Territorio,Territorio
Coordinate,44°48′11.7″N 7°19′26.03″E
Altitudine,365 m s.l.m.
Superficie,"11,09 km²"
Abitanti,1 294[1] (30-11-2025)
Densità,"116,68 ab./km²"
Comuni confinanti,"Bibiana, Bricherasio, Cavour"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001049
Cod. catastale,B512
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 785 GG[3]"
Nome abitanti,campiglionesi e fenilesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Campiglione Fenile,Campiglione Fenile
Campiglione Fenile – MappaLocalizzazione del comune di Campiglione-Fenile nella città metropolitana di Torino.,Campiglione Fenile – MappaLocalizzazione del comune di Campiglione-Fenile nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
