Gassino Torinese comune,Gassino Torinese comune.1
,
Gassino Torinese – VedutaVeduta,Gassino Torinese – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Cristian Corrado (lista civica Cucurin) dal 10-6-2024
Territorio,Territorio
Coordinate,45°07′37.61″N 7°49′29.25″E
Altitudine,230 m s.l.m.
Superficie,"20,51 km²"
Abitanti,9 209[1] (30-11-2025)
Densità,449 ab./km²
Frazioni,"Bardassano, Bussolino"
Comuni confinanti,"Castiglione Torinese, Montaldo Torinese, Pavarolo, Rivalba, San Raffaele Cimena, Sciolze, Settimo Torinese"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001112
Cod. catastale,D933
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 699 GG[3]"
Nome abitanti,Gassinesi
Patrono,Natività di Maria Bambina
Giorno festivo,8 settembre
Cartografia,Cartografia
Gassino Torinese,Gassino Torinese
Gassino Torinese – MappaLocalizzazione del comune di Gassino Torinese nella città Metropolitana di Torino.,Gassino Torinese – MappaLocalizzazione del comune di Gassino Torinese nella città Metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
