Ronco Canavese comune,Ronco Canavese comune.1
,
Ronco Canavese – VedutaPanorama del paese,Ronco Canavese – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Lorenzo Giacomino (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°29′59.05″N 7°32′48.68″E
Altitudine,956 (min 774 - max 3 408) m s.l.m.
Superficie,"96,27 km²"
Abitanti,387[1] (30-11-2025)
Densità,"4,02 ab./km²"
Frazioni,"Villanuova, Lilla, Bogera, Montelavecchia, Bosco, Boschietto, Boschettiera, Villaggio Betassa, Pinera, Grangia, Convento, Quandin, Puntagliera, Lasinetto, Pezzetto, Molino di Forzo, Tressi, Forzo, Cernisio, Scandosio"
Comuni confinanti,"Cogne (AO), Ingria, Locana, Pont Canavese, Ribordone, Sparone, Traversella, Valprato Soana"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001224
Cod. catastale,H539
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 716 GG[3]"
Nome abitanti,ronchesi
Patrono,san Giusto
Giorno festivo,ultima domenica di luglio
Cartografia,Cartografia
Ronco Canavese,Ronco Canavese
Ronco Canavese – MappaLocalizzazione del comune di Ronco Canavese nella città metropolitana di Torino.,Ronco Canavese – MappaLocalizzazione del comune di Ronco Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
