Pont Canavese comune,Pont Canavese comune.1
,
Pont Canavese – VedutaVeduta,Pont Canavese – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Paolo Coppo dal 10-6-2024
Territorio,Territorio
Coordinate,45°25′13.9″N 7°35′48.68″E
Altitudine,461 m s.l.m.
Superficie,"19,06 km²"
Abitanti,3 022[1] (30-11-2025)
Densità,"158,55 ab./km²"
Comuni confinanti,"Alpette, Chiesanuova, Cuorgnè, Frassinetto, Ingria, Ronco Canavese, Sparone"
Altre informazioni,Altre informazioni
Cod. postale,10085
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001199
Cod. catastale,G826
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 866 GG[3]"
Nome abitanti,pontesi
Patrono,san Costanzo
Giorno festivo,21 settembre
Cartografia,Cartografia
Pont Canavese,Pont Canavese
Pont Canavese – MappaLocalizzazione del comune di Pont Canavese nella città metropolitana di Torino.,Pont Canavese – MappaLocalizzazione del comune di Pont Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
