Favria comune,Favria comune.1
,
Favria – Veduta,Favria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Vittorio Bellone (lista civica Vivere Favria) dal 12-6-2017
Territorio,Territorio
Coordinate,45°19′52.15″N 7°41′26.22″E
Altitudine,316 m s.l.m.
Superficie,"14,85 km²"
Abitanti,4 965[1] (30-11-2025)
Densità,"334,34 ab./km²"
Comuni confinanti,"Busano, Front, Oglianico, Rivarolo Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10083
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001101
Cod. catastale,D520
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 618 GG[3]"
Nome abitanti,favriesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Favria,Favria
Favria – MappaLocalizzazione del comune di Favria nella città metropolitana di Torino.,Favria – MappaLocalizzazione del comune di Favria nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
