Lanzo Torinese comune,Lanzo Torinese comune.1
,
Lanzo Torinese – VedutaPanorama dalla strada per Sant'Ignazio,Lanzo Torinese – VedutaPanorama dalla strada per Sant'Ignazio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Fabrizio Vottero Bernardina (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°16′24.06″N 7°28′38.68″E
Altitudine,525[1] m s.l.m.
Superficie,"10,29[2] km²"
Abitanti,5 061[3] (30-11-2025)
Densità,"491,84 ab./km²"
Frazioni,"Brecco, Cates, Colombaro, Fua, Grange, Margaula, Momello, Ovairo, Oviglia, Praile"
Comuni confinanti,"Balangero, Cafasse, Coassolo Torinese, Germagnano, Monastero di Lanzo, Pessinetto"
Altre informazioni,Altre informazioni
Cod. postale,10074
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001128
Cod. catastale,E445
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 3 197 GG[5]"
Nome abitanti,lanzesi
Patrono,san Pietro in Vincoli
Giorno festivo,1º agosto
Cartografia,Cartografia
Lanzo Torinese,Lanzo Torinese
Lanzo Torinese – MappaLocalizzazione del comune di Lanzo Torinese nella città metropolitana di Torino.,Lanzo Torinese – MappaLocalizzazione del comune di Lanzo Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
