Montalenghe comune,Montalenghe comune.1
,
Montalenghe – VedutaPanorama del paese,Montalenghe – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Franca Rita Ladu (lista civica Uniti per Montalenghe) dal 22-9-2020
Territorio,Territorio
Coordinate,45°20′14.84″N 7°50′19.75″E
Altitudine,360 m s.l.m.
Superficie,"6,47 km²"
Abitanti,972[1] (30-11-2025)
Densità,"150,23 ab./km²"
Comuni confinanti,"Cuceglio, Mercenasco, Orio Canavese, San Giorgio Canavese, Scarmagno"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001159
Cod. catastale,F411
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 894 GG[3]"
Nome abitanti,montalenghesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Motto,Ad montes lente sed securius
Cartografia,Cartografia
Montalenghe,Montalenghe
Montalenghe – MappaLocalizzazione del comune di Montalenghe nella città metropolitana di Torino.,Montalenghe – MappaLocalizzazione del comune di Montalenghe nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
