Nichelino comune,Nichelino comune.1
,
Nichelino – VedutaChiesa della Visitazione di Maria Vergine,Nichelino – VedutaChiesa della Visitazione di Maria Vergine
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giampiero Tolardo (centro-sinistra) dal 20-6-2016[1] (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,44°59′43.86″N 7°38′47.82″E
Altitudine,229 m s.l.m.
Superficie,"20,56 km²"
Abitanti,45 726[2] (30-11-2025)
Densità,"2 224,03 ab./km²"
Frazioni,Stupinigi
Comuni confinanti,"Beinasco, Candiolo, Moncalieri, Orbassano, Torino, Vinovo"
Altre informazioni,Altre informazioni
Cod. postale,10042
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001164
Cod. catastale,F889
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 537 GG[4]"
Nome abitanti,nichelinesi
Patrono,san Matteo (patrono) san Rocco (compatrono)
Giorno festivo,21 settembre
Cartografia,Cartografia
Nichelino,Nichelino
Nichelino – MappaLocalizzazione del comune di Nichelino nella città metropolitana di Torino.,Nichelino – MappaLocalizzazione del comune di Nichelino nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
