Perosa Argentina comune,Perosa Argentina comune.1
,
Perosa Argentina – VedutaVeduta,Perosa Argentina – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Nadia Brunetto (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°57′26.78″N 7°11′27.29″E
Altitudine,"608 (min 594 - max 2,213) m s.l.m."
Superficie,"26,09 km²"
Abitanti,3 142[1] (30-11-2025)
Densità,"120,43 ab./km²"
Frazioni,"Coutandin, Meano"
Comuni confinanti,"Coazze, Giaveno, Inverso Pinasca, Perrero, Pinasca, Pomaretto, Roure"
Altre informazioni,Altre informazioni
Cod. postale,10063
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001184
Cod. catastale,G463
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 266 GG[3]"
Nome abitanti,perosini
Patrono,san Genesio[non chiaro]
Giorno festivo,22 agosto
Cartografia,Cartografia
Perosa Argentina,Perosa Argentina
Perosa Argentina – MappaLocalizzazione del comune di Perosa Argentina nella città metropolitana di Torino.,Perosa Argentina – MappaLocalizzazione del comune di Perosa Argentina nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
