Bairo comune,Bairo comune.1
,
Bairo – VedutaLa Torre Rossa e La Torre Campanaria,Bairo – VedutaLa Torre Rossa e La Torre Campanaria
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Claudio Succio (lista civica Per Bairo) dal 30-6-2017
Territorio,Territorio
Coordinate,45°23′11.71″N 7°45′19.61″E
Altitudine,365 m s.l.m.
Superficie,"7,09 km²"
Abitanti,779[1] (30-11-2025)
Densità,"109,87 ab./km²"
Comuni confinanti,"Agliè, Castellamonte, Ozegna, Torre Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001015
Cod. catastale,A584
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 684 GG[3]"
Nome abitanti,bairesi
Patrono,san Giorgio
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Bairo,Bairo
Bairo – MappaLocalizzazione del comune di Bairo nella città metropolitana di Torino.,Bairo – MappaLocalizzazione del comune di Bairo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
